loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc
20000,20000,20000,60,10.33,428.2,B,B1,Commercial truck driver,3,MORTGAGE,70000
15000,15000,15000,36,8.19,471.37,A,A4,,0,RENT,54000
28000,28000,28000,60,12.98,636.8,B,B5,Majot,10,MORTGAGE,70000
5000,5000,5000,36,23.4,194.6,E,E1,Fixed ops director ,2,OWN,175000
6000,6000,6000,36,10.72,195.64,B,B2,,0,MORTGAGE,30000
30000,30000,30000,36,16.14,1056.79,C,C4,Camera Assembly,1,RENT,55000
15000,15000,15000,36,7.02,463.3,A,A2,Clerk Typist 3,2,MORTGAGE,320000
5000,5000,5000,36,24.37,197.14,E,E2,Financial Services Specialist 3,10,RENT,55000
32000,32000,32000,60,13.56,737.31,C,C1,General Manager,4,MORTGAGE,85000
10000,10000,10000,60,11.8,221.44,B,B4,Mechanical engineer,10,MORTGAGE,92133
27950,27950,27950,36,8.19,878.31,A,A4,hr generalist,4,MORTGAGE,75000
20000,20000,20000,36,7.02,617.73,A,A2,race and sportsbook supervisor,10,MORTGAGE,53000
9500,9500,9500,36,13.56,322.67,C,C1,Executive Assistant ,10,MORTGAGE,49000
24000,24000,24000,60,10.33,513.84,B,B1,"Director, Demand Generation",4,RENT,86000
2000,2000,2000,36,20.89,75.24,D,D4,Supervisor ,8,RENT,47000
30000,30000,30000,60,13.56,691.23,C,C1,Deputy Finance Director,6,MORTGAGE,148550
10000,10000,10000,36,12.98,336.85,B,B5,,1,RENT,70000
8000,8000,8000,36,6.46,245.05,A,A1,Airfield Maintenance,5,MORTGAGE,52000
22000,22000,22000,36,8.19,691.33,A,A4,Sales Executive,4,MORTGAGE,125000
15000,15000,15000,36,8.19,471.37,A,A4,program analyst,10,MORTGAGE,95000
3000,3000,3000,36,8.19,94.28,A,A4,Laundry Attendant II,10,RENT,36000
10000,10000,10000,36,8.19,314.25,A,A4,,0,MORTGAGE,58000
12000,12000,12000,36,14.47,412.88,C,C2,,0,RENT,50097
7000,7000,7000,36,11.31,230.21,B,B3,Managing Director of Museum Stores,4,MORTGAGE,43000
25000,25000,25000,60,8.19,509.19,A,A4,Design Manager,10,RENT,110000
19000,19000,19000,36,6.46,581.99,A,A1,Truck Driver,10,MORTGAGE,75000
16000,16000,16000,36,12.98,538.95,B,B5,Bricklayer,3,MORTGAGE,90000
7200,7200,7200,36,6.46,220.55,A,A1,Production Supervisor,2,MORTGAGE,52000
6500,6500,6500,36,10.33,210.75,B,B1,Machine Operator,10,MORTGAGE,85000
14000,14000,14000,36,7.02,432.41,A,A2,Executive,10,MORTGAGE,120000
5300,5300,5300,36,10.72,172.82,B,B2,Line Lead,10,MORTGAGE,26000
40000,40000,40000,36,11.8,1324.76,B,B4,Teacher,8,RENT,120000
11200,11200,11175,60,10.72,241.96,B,B2,laundry supervisor ,10,MORTGAGE,50000
5600,5600,5600,36,6.46,171.54,A,A1,Customer Service Manager,9,RENT,37500
10000,10000,10000,36,7.02,308.87,A,A2,Senior proposal mamager,5,OWN,107000
13000,13000,13000,36,6.46,398.21,A,A1,Marketing Director,4,MORTGAGE,89000
36000,36000,36000,60,10.72,777.71,B,B2,Business Relationship Manager,8,RENT,90000
10000,10000,10000,60,13.56,230.41,C,C1,Biller,1,RENT,40000
5000,5000,5000,36,14.47,172.04,C,C2,school safety agent,10,RENT,46737
33000,33000,33000,60,16.14,804.96,C,C4,Plumbing foreman,1,MORTGAGE,135000
12000,12000,12000,36,10.33,389.07,B,B1,,1,MORTGAGE,150000
12000,12000,12000,36,16.14,422.72,C,C4,Pharmacist,3,MORTGAGE,85000
24000,24000,24000,60,12.98,545.83,B,B5,Nursing,8,MORTGAGE,50000
9000,9000,9000,36,11.8,298.07,B,B4,Assistant Property Manager,1,RENT,40000
12400,12400,12400,36,11.8,410.68,B,B4,qc manager,10,MORTGAGE,64000
35000,35000,35000,60,10.33,749.35,B,B1,Teacher,10,MORTGAGE,52000
25000,25000,25000,36,6.46,765.77,A,A1,Mgr,10,OWN,100000
5000,5000,5000,36,7.56,155.67,A,A3,Housekeeping Supervisor,5,RENT,34000
4000,4000,4000,36,10.33,129.69,B,B1,MEAT CLERK,7,RENT,30000
7650,7650,7650,36,8.19,240.4,A,A4,Ophthalmic Technician ,3,RENT,29000
6000,6000,6000,36,12.98,202.11,B,B5,pricing project coordinator,1,RENT,43000
10000,10000,10000,36,14.47,344.07,C,C2,Warranty and returns,2,RENT,35000
10000,10000,10000,36,14.47,344.07,C,C2,A/R Advisor,3,RENT,40500
12000,12000,12000,36,8.81,380.54,A,A5,Deputy U.S. Marshal,9,MORTGAGE,125005
3000,3000,3000,36,17.97,108.42,D,D1,Sales Agent,2,RENT,60000
20000,20000,20000,36,10.72,652.13,B,B2,Field Consultant,6,MORTGAGE,84000
20000,20000,20000,60,26.31,602.49,E,E4,Deputy,4,MORTGAGE,58000
12000,12000,12000,36,7.02,370.64,A,A2,,10,MORTGAGE,80000
5500,5500,5500,36,8.19,172.84,A,A4,Supervisor Store Systems,10,RENT,71103
24000,24000,24000,60,13.56,552.98,C,C1,Police Officer ,5,MORTGAGE,60000
30000,30000,30000,36,6.46,918.93,A,A1,Campaign Director,2,MORTGAGE,66000
40000,40000,40000,60,10.33,856.4,B,B1,Pilot,1,RENT,210000
9600,9600,9600,36,7.02,296.51,A,A2,Nurse Quality Auditor,1,MORTGAGE,85200
20000,20000,20000,60,8.19,407.35,A,A4,Quality Inspection,10,MORTGAGE,80000
9600,9600,9600,36,6.46,294.06,A,A1,Satellite Engineer,5,RENT,80000
11700,11700,11700,60,10.33,250.5,B,B1,Customer Service,10,MORTGAGE,48000
25000,25000,25000,60,15.02,595.02,C,C3,Production,10,MORTGAGE,50000
7800,7800,7800,36,7.02,240.92,A,A2,Mechanic,10,OWN,40000
28000,28000,28000,60,14.47,658.36,C,C2,Construction Manager,3,MORTGAGE,54000
25000,25000,25000,60,11.8,553.59,B,B4,Dealer,5,RENT,72000
6500,6500,6500,36,8.19,204.26,A,A4,,0,RENT,105000
40000,40000,40000,36,6.46,1225.24,A,A1,Administrator,1,MORTGAGE,100000
5000,5000,5000,36,26.31,202.28,E,E4,Manager,2,RENT,72000
15000,15000,15000,60,16.91,372.07,C,C5,Manager,10,RENT,76000
19700,19700,19700,60,10.72,425.58,B,B2,Networking,2,MORTGAGE,32000
10000,10000,10000,60,14.47,235.13,C,C2,Tower  technician ,4,OWN,54000
5000,5000,5000,36,10.33,162.12,B,B1,Retail Manager,9,MORTGAGE,144000
30000,30000,30000,36,16.14,1056.79,C,C4,Manager,4,MORTGAGE,91000
27000,27000,27000,60,22.35,751.1,D,D5,executive chef,1,MORTGAGE,75000
10500,10500,10500,36,14.47,361.27,C,C2,painter,10,RENT,51500
9000,9000,9000,36,7.56,280.21,A,A3,Accounting,4,RENT,47000
16000,16000,16000,36,11.8,529.91,B,B4,Maintenance,1,MORTGAGE,35000
20000,20000,20000,36,11.8,662.38,B,B4,Senior Care Coordinator,10,OWN,75000
8400,8400,8400,36,11.31,276.25,B,B3,Driver/messenger ,1,RENT,43000
11000,11000,11000,60,10.33,235.51,B,B1,Nurse,7,MORTGAGE,87000
3375,3375,3375,36,14.47,116.13,C,C2,Special Education Teacher,4,MORTGAGE,39409
5500,5500,5500,36,6.46,168.47,A,A1,Fitness Consultant,1,OWN,40000
32625,32625,32625,36,12.98,1098.96,B,B5,Chief of police,2,MORTGAGE,166000
12000,12000,12000,36,7.02,370.64,A,A2,Pipefitter,1,MORTGAGE,80000
35000,35000,35000,60,17.97,888.2,D,D1,Regional Business Director,2,RENT,120000
8000,8000,8000,36,8.19,251.4,A,A4,Mix pesticides,9,RENT,63000
10000,10000,10000,60,12.98,227.43,B,B5,kitchen and bath designer,1,MORTGAGE,60000
20000,20000,20000,36,10.33,648.45,B,B1,distributor,8,MORTGAGE,60000
36000,36000,36000,36,10.33,1167.21,B,B1,Account manager ,10,OWN,118000
15000,15000,15000,36,8.19,471.37,A,A4,,1,MORTGAGE,260000
17500,17500,17500,60,22.35,486.82,D,D5,Store Manager,9,MORTGAGE,50000
10400,10400,10400,36,12.98,350.32,B,B5,Retail Relationship Banker,10,MORTGAGE,66000
10450,10450,10450,36,11.31,343.66,B,B3,Library Associate,1,MORTGAGE,30000
3500,3500,3500,36,10.72,114.13,B,B2,Global Product marketing manager ,2,OWN,195000
6000,6000,6000,36,13.56,203.79,C,C1,Service Coordinator ,1,RENT,35000
10800,10800,10800,60,10.72,233.32,B,B2,Cnc operator,9,MORTGAGE,59999
8500,8500,8500,36,8.81,269.55,A,A5,Teacher,10,MORTGAGE,67000
24000,24000,24000,36,16.91,854.6,C,C5,Env Safety Director,9,MORTGAGE,125000
12000,12000,12000,36,6.46,367.57,A,A1,management ,7,MORTGAGE,50000
10000,10000,10000,36,6.46,306.31,A,A1,Firefighter ,10,MORTGAGE,105000
38800,38800,38800,60,11.8,859.17,B,B4,Business Development ,1,MORTGAGE,120000
30000,30000,30000,60,13.56,691.23,C,C1,Flight Attendant,5,RENT,55000
40000,40000,40000,36,11.31,1315.43,B,B3,Surgical Technologist,10,MORTGAGE,122000
3500,3500,3500,36,11.31,115.11,B,B3,,0,OWN,34500
40000,40000,40000,60,11.8,885.75,B,B4,,1,RENT,214644
15000,15000,15000,60,11.8,332.16,B,B4,Clinical dietitian ,1,OWN,62000
2800,2800,2800,36,6.46,85.77,A,A1,Clerk,10,MORTGAGE,40000
7000,7000,7000,36,6.46,214.42,A,A1,,1,OWN,25000
25000,25000,25000,36,7.56,778.35,A,A3,,1,RENT,100000
20000,20000,20000,60,11.8,442.88,B,B4,Escrow officer,10,MORTGAGE,48400
36000,36000,36000,60,12.98,818.75,B,B5,Senior Accounting,6,MORTGAGE,190000
10000,10000,10000,36,17.97,361.38,D,D1,test technician,5,RENT,50000
40000,40000,40000,60,18.94,1036.31,D,D2,Nurse Anesthetist,7,MORTGAGE,225000
11000,11000,11000,60,16.91,272.85,C,C5,A/V Production Specialist,3,MORTGAGE,86000
11000,11000,11000,36,6.46,336.94,A,A1,School Readiness Teacher,3,ANY,45000
29050,29050,29050,36,10.33,941.87,B,B1,Executive Casino Host,1,MORTGAGE,68000
20000,20000,20000,36,25.34,798.8,E,E3,Glazier,7,MORTGAGE,50000
10000,10000,10000,36,11.31,328.86,B,B3,Director of Financial Aid -Retention,3,RENT,75000
18000,18000,18000,36,26.31,728.21,E,E4,Store manager,7,MORTGAGE,98000
40000,40000,40000,60,8.19,814.7,A,A4,Director of Operations,3,MORTGAGE,110000
15500,15500,15500,36,7.02,478.74,A,A2,Deputy Sheriff,5,MORTGAGE,50000
1000,1000,1000,36,13.56,33.97,C,C1,Customer service ,1,RENT,42140
1000,1000,1000,36,23.4,38.92,E,E1,Unix System Engineer,2,MORTGAGE,115000
12500,12500,12500,36,14.47,430.08,C,C2,asst manager service tech,1,MORTGAGE,120000
1000,1000,1000,36,10.33,32.43,B,B1,Technician,10,MORTGAGE,89000
25000,25000,25000,60,10.33,535.25,B,B1,LVN,4,RENT,82000
5000,5000,5000,36,7.56,155.67,A,A3,"Director, Reinsurance",2,MORTGAGE,225000
35000,35000,35000,60,10.72,756.11,B,B2,Administrative Assistant,8,MORTGAGE,25400
3000,3000,3000,36,11.31,98.66,B,B3,Technician,6,RENT,47000
1500,1500,1500,36,20.89,56.43,D,D4,,0,RENT,45000
22000,22000,22000,60,11.8,487.16,B,B4,Registered Nurse ,1,RENT,65000
6000,6000,6000,36,6.46,183.79,A,A1,,1,RENT,50000
6000,6000,6000,36,7.56,186.81,A,A3,Recruiter ,10,MORTGAGE,64000
10000,10000,10000,36,10.33,324.23,B,B1,Maitenance,3,MORTGAGE,60000
4500,4500,4500,36,27.27,184.37,E,E5,,1,RENT,45000
16000,16000,16000,36,8.81,507.39,A,A5,Agency producer,5,RENT,43000
40000,40000,40000,60,15.02,952.02,C,C3,,0,MORTGAGE,70000
5000,5000,5000,36,24.37,197.14,E,E2,Sales Representative ,4,RENT,45000
12000,12000,12000,36,14.47,412.88,C,C2,Director of Institutional Research and S,8,MORTGAGE,99600
4000,4000,4000,36,8.19,125.7,A,A4,Nurse,4,MORTGAGE,85000
10000,10000,10000,36,6.46,306.31,A,A1,Certified Vet Assistant ,7,MORTGAGE,50000
16850,16850,16850,36,11.8,558.06,B,B4,,0,RENT,13032
16000,16000,16000,36,6.46,490.1,A,A1,,0,OWN,48000
7000,7000,7000,36,6.46,214.42,A,A1,,0,MORTGAGE,36000
6500,6500,6500,36,8.81,206.13,A,A5,Marketing Manager,3,MORTGAGE,88000
20000,20000,20000,60,16.91,496.09,C,C5,Sr Supply Chain Manager,5,OWN,68000
12600,12600,12600,36,27.27,516.23,E,E5,Trust Officer,3,RENT,60000
4800,4800,4800,36,8.19,150.84,A,A4,customer service rep,7,RENT,39000
16000,16000,16000,36,10.72,521.71,B,B2,Administrative assistant,8,MORTGAGE,60000
5000,5000,5000,36,8.81,158.56,A,A5,Teacher,8,MORTGAGE,55000
31025,31025,31025,60,22.35,863.07,D,D5,,0,RENT,84000
15000,15000,15000,60,11.8,332.16,B,B4,Clinic Director,3,MORTGAGE,150000
14400,14400,14400,36,16.91,512.76,C,C5,Consultant,2,RENT,60000
15000,15000,15000,36,10.72,489.1,B,B2,Product Development Advisor,1,RENT,110000
25000,25000,25000,60,14.47,587.82,C,C2,Vice President,10,MORTGAGE,170000
1200,1200,1200,36,26.31,48.55,E,E4,Mortgage Banking Officer,5,MORTGAGE,35000
5000,5000,5000,36,13.56,169.83,C,C1,Manager,8,RENT,99000
7000,7000,7000,36,17.97,252.97,D,D1,Bus driver ,10,RENT,32000
30000,30000,30000,60,17.97,761.32,D,D1,Business Account Execuite ,4,RENT,135000
3500,3500,3500,36,18.94,128.19,D,D2,District Manager,10,MORTGAGE,127300
12700,12700,12700,60,11.8,281.23,B,B4,Warehouse,10,MORTGAGE,60000
3500,3500,3500,36,11.31,115.11,B,B3,Communications Specialist,1,MORTGAGE,60000
24000,24000,23975,60,11.8,531.45,B,B4,Professional Learning Specialist,5,MORTGAGE,170000
30000,30000,30000,36,10.72,978.19,B,B2,Principal,10,OWN,96000
20000,20000,20000,36,11.31,657.72,B,B3,,1,MORTGAGE,118000
11000,11000,11000,36,10.33,356.65,B,B1,,0,MORTGAGE,40000
7500,7500,7475,36,8.81,237.84,A,A5,,0,MORTGAGE,89000
8000,8000,8000,36,11.8,264.96,B,B4,Remote inpatient coder,3,RENT,69000
9000,9000,9000,36,10.72,293.46,B,B2,Tech,10,RENT,54000
40000,40000,40000,60,10.72,864.13,B,B2,Tax Senior Manager,1,RENT,180000
15000,15000,14975,60,13.56,345.62,C,C1,Surveyor,1,MORTGAGE,85000
35000,35000,35000,36,16.91,1246.28,C,C5,HR Director ,1,MORTGAGE,237000
40000,40000,40000,36,12.98,1347.38,B,B5,VP of sales,1,MORTGAGE,225000
4800,4800,4800,36,13.56,163.03,C,C1,Sales,10,MORTGAGE,77000
18000,18000,18000,36,15.02,624.16,C,C3,Special Inspector,4,RENT,58000
16000,16000,16000,36,7.56,498.15,A,A3,registered nurse,10,MORTGAGE,79000
10000,10000,10000,60,16.14,243.93,C,C4,Director,10,RENT,173500
16500,16500,16500,60,11.8,365.37,B,B4,Operations Manager ,8,RENT,50000
12000,12000,12000,36,7.56,373.61,A,A3,Air Traffic Controller,10,MORTGAGE,94992
15000,15000,15000,36,19.92,556.85,D,D3,RRT,10,MORTGAGE,82038
8000,8000,8000,36,11.8,264.96,B,B4,Senior analyst,3,RENT,53188
12500,12500,12500,60,17.97,317.22,D,D1,Police Officer,1,RENT,68000
15000,15000,15000,60,12.98,341.15,B,B5,Enrollment Coordinator,6,RENT,61000
15000,15000,15000,36,8.81,475.68,A,A5,Sales Consultant,5,RENT,60000
15000,15000,15000,36,7.02,463.3,A,A2,Arbitration supervisor ,3,OWN,125000
8000,8000,8000,36,11.8,264.96,B,B4,Manager ,2,RENT,22000
25000,25000,25000,36,11.8,827.98,B,B4,,1,RENT,160000
6000,6000,6000,36,8.19,188.55,A,A4,Teacher,10,MORTGAGE,69000
12000,12000,12000,36,8.19,377.09,A,A4,sales Representative ,4,MORTGAGE,60000
40000,40000,40000,60,11.8,885.75,B,B4,,0,RENT,223000
9000,9000,9000,36,12.98,303.16,B,B5,dealer,3,RENT,48000
14000,14000,14000,36,12.98,471.59,B,B5,IT Manager,6,RENT,70000
15000,15000,15000,60,10.72,324.05,B,B2,COO,4,MORTGAGE,120000
9500,9500,9500,36,8.81,301.26,A,A5,,1,RENT,45000
7500,7500,7500,36,19.92,278.43,D,D3,Clinician ,2,RENT,60000
5000,5000,5000,36,7.56,155.67,A,A3,Client Service Rep,10,MORTGAGE,36000
5000,5000,5000,36,8.81,158.56,A,A5,loan funding officer,3,MORTGAGE,47000
4400,4400,4400,36,12.98,148.22,B,B5,Detailer,1,RENT,45000
6000,6000,6000,36,16.14,211.36,C,C4,Assist  teacher,10,RENT,50000
19000,19000,19000,36,6.46,581.99,A,A1,Platoon Sergeant,10,MORTGAGE,80000
21600,21600,21600,60,10.72,466.63,B,B2,Business Process Owner - HR,10,MORTGAGE,106000
32000,32000,32000,60,8.19,651.76,A,A4,,1,MORTGAGE,50000
40000,40000,40000,60,11.8,885.75,B,B4,Customer support ,10,MORTGAGE,86200
10000,10000,10000,36,7.56,311.34,A,A3,Director,5,MORTGAGE,125000
11000,11000,11000,36,8.81,348.83,A,A5,private client banker,3,RENT,75000
6000,6000,5975,36,12.98,202.11,B,B5,cook,1,RENT,29159
15000,15000,15000,36,7.56,467.01,A,A3,Software Engineer,1,MORTGAGE,148000
15000,15000,15000,60,11.8,332.16,B,B4,Inspector,10,RENT,35000
5000,5000,5000,36,11.8,165.6,B,B4,,0,RENT,30000
12000,12000,12000,36,13.56,407.58,C,C1,Insurance agent ,3,RENT,50000
6000,6000,6000,36,7.02,185.32,A,A2,Financial Analyst,3,MORTGAGE,60000
19000,19000,19000,36,7.02,586.84,A,A2,Customer service maanger,8,MORTGAGE,40000
7500,7500,7500,36,10.72,244.55,B,B2,Quality Engineer,1,RENT,57000
20000,20000,20000,36,15.02,693.51,C,C3,teacher,10,MORTGAGE,102000
20000,20000,20000,36,14.47,688.13,C,C2,Sustainability Projects Specialist ,1,RENT,114000
7000,7000,7000,36,18.94,256.38,D,D2,Supervisory Management Analyst,6,OWN,98000
10000,10000,10000,36,11.8,331.19,B,B4,Director of Maintenance ,1,RENT,100000
5000,5000,5000,36,8.19,157.13,A,A4,Physical Therapist,2,RENT,73000
10000,10000,9975,60,13.56,230.41,C,C1,Senior Revenue Manager,2,RENT,105000
15000,15000,15000,36,8.81,475.68,A,A5,,0,MORTGAGE,76000
11200,11200,11200,60,12.98,254.72,B,B5,Vp business banking ,4,RENT,125000
5000,5000,5000,36,14.47,172.04,C,C2,Overnight team member,2,RENT,33000
8000,8000,8000,36,13.56,271.72,C,C1,Health Ins Specialist ,10,RENT,119000
3600,3600,3575,36,8.19,113.13,A,A4,Maintence,8,MORTGAGE,45000
22000,22000,22000,36,7.56,684.95,A,A3,Recruiter ,10,MORTGAGE,70000
32000,32000,32000,60,12.98,727.78,B,B5,Retail Store Manager,1,RENT,140000
40000,40000,40000,60,8.19,814.7,A,A4,Cyber Security Engineer,1,RENT,200400
2400,2400,2375,36,7.56,74.73,A,A3,,0,MORTGAGE,48000
6000,6000,6000,36,10.33,194.54,B,B1,Compliance Manager,4,MORTGAGE,90000
13500,13500,13500,60,8.19,274.97,A,A4,R.N. Case Manager,1,MORTGAGE,74500
3125,3125,3125,36,6.46,95.73,A,A1,Software Engineer,10,RENT,80000
35000,35000,35000,60,11.31,766.41,B,B3,Shop Foreman,4,RENT,95000
12000,12000,12000,36,8.81,380.54,A,A5,Operations manager,6,MORTGAGE,90000
35000,35000,35000,36,15.02,1213.63,C,C3,Director of Marketing,8,RENT,76000
12000,12000,12000,36,11.31,394.63,B,B3,Dir of Education ,1,MORTGAGE,120000
6000,6000,6000,36,6.46,183.79,A,A1,Education Manager,10,MORTGAGE,54000
7400,7400,7400,36,26.31,299.38,E,E4,Occupational Therapist,10,MORTGAGE,50000
22000,22000,22000,36,6.46,673.88,A,A1,BUS DISPATCHER,10,MORTGAGE,145000
24825,24825,24825,36,23.4,966.16,E,E1,Transportation specilist ,10,MORTGAGE,85000
10000,10000,10000,36,16.14,352.27,C,C4,MANAGER,10,MORTGAGE,94000
4000,4000,4000,36,17.97,144.55,D,D1,operation supervisor,10,MORTGAGE,90000
35000,35000,35000,36,7.02,1081.02,A,A2,General Foreman,10,MORTGAGE,133000
40000,40000,40000,36,7.02,1235.45,A,A2,Care Manager,2,MORTGAGE,100000
16000,16000,16000,60,11.8,354.3,B,B4,Department Manager,10,MORTGAGE,50000
6000,6000,6000,36,13.56,203.79,C,C1,Sr Account Mgr Sales,2,OWN,40000
20000,20000,20000,36,11.31,657.72,B,B3,,1,RENT,100000
23000,23000,23000,60,8.81,475.33,A,A5,,0,MORTGAGE,85000
13000,13000,13000,36,8.81,412.25,A,A5,Loan Counselor,2,RENT,45000
30000,30000,30000,36,14.47,1032.2,C,C2,,1,OWN,240000
15000,15000,15000,60,8.19,305.52,A,A4,Cusromer service rep,7,MORTGAGE,30000
25000,25000,25000,36,8.19,785.61,A,A4,Physician,2,RENT,145000
18000,18000,18000,36,16.14,634.08,C,C4,Assistant general manager,1,RENT,58300
30000,30000,30000,36,8.81,951.35,A,A5,Wealth Management Operations Clerk,1,RENT,127000
6500,6500,6500,36,11.8,215.28,B,B4,guidance counselor,10,MORTGAGE,100000
10000,10000,10000,36,10.72,326.07,B,B2,Maintenance Supervisor,10,MORTGAGE,68000
5000,5000,4975,36,6.46,153.16,A,A1,General Manager,3,MORTGAGE,125000
30000,30000,30000,36,7.56,934.02,A,A3,,1,MORTGAGE,85000
20000,20000,20000,60,8.19,407.35,A,A4,Regional Account Rep,3,MORTGAGE,98088
10000,10000,10000,36,16.14,352.27,C,C4,,0,OWN,65000
20000,20000,20000,60,16.91,496.09,C,C5,Nurse ,1,MORTGAGE,250000
12000,12000,12000,36,20.89,451.43,D,D4,Technical Specialist,1,RENT,65000
12000,12000,12000,36,7.56,373.61,A,A3,Shift Supervisor,2,RENT,35000
6025,6025,6025,36,19.92,223.67,D,D3,Security officer ,2,RENT,40000
10000,10000,10000,36,11.31,328.86,B,B3,Paramedic ,6,OWN,100000
15000,15000,15000,60,10.72,324.05,B,B2,Paratransit driver,2,MORTGAGE,30000
12000,12000,12000,36,8.19,377.09,A,A4,district manager,6,MORTGAGE,75000
15000,15000,15000,60,12.98,341.15,B,B5,General Manager,8,RENT,90000
40000,40000,40000,60,19.92,1057.98,D,D3,Counselor,2,MORTGAGE,65000
16000,16000,16000,60,11.8,354.3,B,B4,Journeyman IronWorker,10,MORTGAGE,60000
30000,30000,30000,60,10.72,648.1,B,B2,Medical Editor,1,OWN,85000
4000,4000,4000,36,16.91,142.44,C,C5,Rehabilitation Technician ,4,RENT,50000
10000,10000,10000,36,7.56,311.34,A,A3,Senior Digital Design Lead,7,RENT,72000
35000,35000,35000,36,12.98,1178.96,B,B5,Automation Engineer,1,RENT,115000
21000,21000,21000,36,7.02,648.62,A,A2,RN,10,MORTGAGE,130000
7000,7000,7000,36,10.72,228.25,B,B2,Ssr,5,MORTGAGE,55000
12500,12500,12500,36,7.02,386.08,A,A2,Financial Aid Counselor,1,RENT,53000
35000,35000,35000,36,11.31,1151.01,B,B3,Tech Lead,10,RENT,99000
16375,16375,16375,60,22.35,455.53,D,D5,Heavy equipment operator,4,MORTGAGE,95000
12000,12000,12000,36,7.02,370.64,A,A2,Staff Architect,1,RENT,67000
15000,15000,15000,36,14.47,516.1,C,C2,Veterinary Nurse ,2,OWN,38000
9000,9000,9000,36,13.56,305.68,C,C1,,1,RENT,150000
25000,25000,25000,60,20.89,674.79,D,D4,Teacher,1,RENT,45500
30000,30000,30000,60,14.47,705.38,C,C2,,1,MORTGAGE,120000
20000,20000,20000,36,10.33,648.45,B,B1,,1,MORTGAGE,185000
6000,6000,6000,36,19.92,222.74,D,D3,Dept Mgr,10,MORTGAGE,65000
29000,29000,29000,36,14.47,997.79,C,C2,Material handler,8,MORTGAGE,40000
24000,24000,24000,60,14.47,564.31,C,C2,Firefighter,10,RENT,110000
6000,6000,6000,36,15.02,208.06,C,C3,Academic Advisor,3,RENT,51000
8800,8800,8800,36,11.31,289.4,B,B3,Case manager,10,MORTGAGE,68000
10000,10000,10000,36,8.81,317.12,A,A5,Sales manager,5,RENT,65000
14400,14400,14400,60,10.72,311.09,B,B2,,1,OWN,79000
9600,9600,9600,36,18.94,351.61,D,D2,Senior Administrative Assistant,10,OWN,103000
30000,30000,30000,60,8.19,611.03,A,A4,Deputy Sheriff,10,MORTGAGE,200000
20000,20000,20000,36,8.81,634.23,A,A5,Senior Audiologist,7,RENT,115000
10500,10500,10500,60,15.02,249.91,C,C3,Utility Coordinator,7,RENT,80000
5400,5400,5400,36,8.19,169.7,A,A4,Teacher,5,OWN,72000
24000,24000,24000,60,8.19,488.82,A,A4,Associate Attorney,10,MORTGAGE,160000
28000,28000,28000,60,12.98,636.8,B,B5,HVAC Technician,10,MORTGAGE,95000
10000,10000,10000,60,15.02,238.01,C,C3,Sewerman,1,RENT,36000
26000,26000,26000,36,18.94,952.27,D,D2,Customer sales customer service rep,3,RENT,45000
40000,40000,40000,60,16.91,992.17,C,C5,,1,MORTGAGE,90000
14000,14000,14000,60,18.94,362.71,D,D2,Corrections Officer,2,RENT,62000
9350,9350,9350,36,7.56,291.11,A,A3,Customer support tech,10,RENT,51000
27000,27000,27000,60,8.19,549.93,A,A4,Network admin,10,MORTGAGE,52000
7500,7500,7500,36,15.02,260.07,C,C3,Delivery service manager,5,RENT,70000
20000,20000,20000,60,14.47,470.26,C,C2,Driver,9,MORTGAGE,56000
15000,15000,15000,36,11.8,496.79,B,B4,massage therapist,1,RENT,35000
15000,15000,15000,36,10.33,486.34,B,B1,,0,RENT,21264
7300,7300,7300,36,8.19,229.4,A,A4,Service sales representative ,1,RENT,56000
17000,17000,17000,36,11.8,563.03,B,B4,Reapiratory Therapist,8,RENT,98000
7000,7000,7000,36,16.91,249.26,C,C5,Office manager,10,RENT,55000
20000,20000,20000,60,11.8,442.88,B,B4,,1,MORTGAGE,95000
35000,35000,35000,60,22.35,973.64,D,D5,,0,OWN,70000
4000,4000,3975,36,8.81,126.85,A,A5,Police officer ,7,RENT,120000
4000,4000,4000,36,16.91,142.44,C,C5,,1,OWN,45000
26000,26000,26000,60,8.19,529.56,A,A4,,0,MORTGAGE,30000
25000,25000,25000,60,8.81,516.66,A,A5,Apprenticeship Alabama Coordinator,1,MORTGAGE,69000
9500,9500,9500,36,7.56,295.78,A,A3,Teacher,3,RENT,54000
18000,18000,18000,36,18.94,659.27,D,D2,Executive Assistant ,1,RENT,78000
10000,10000,10000,36,11.8,331.19,B,B4,case manager,4,OWN,70000
17000,17000,17000,36,6.46,520.73,A,A1,Assistant Professor,5,MORTGAGE,140000
10000,10000,10000,36,18.94,366.26,D,D2,PRO-Services,1,OWN,30000
15500,15500,15500,36,6.46,474.78,A,A1,Construction and maintenance Specialist ,10,RENT,62000
20000,20000,20000,60,10.72,432.07,B,B2,Delivery driver ,10,MORTGAGE,65000
17000,17000,17000,60,11.8,376.44,B,B4,Terminal operator,1,RENT,50000
15000,15000,15000,36,11.31,493.29,B,B3,Employment Program Representative,10,MORTGAGE,57870
15000,15000,15000,36,6.46,459.47,A,A1,,0,RENT,30000
7800,7800,7800,36,8.19,245.11,A,A4,Field Service Tech,3,MORTGAGE,40000
2400,2400,2125,36,10.72,78.26,B,B2,Designer,1,RENT,71000
